lwage,educ,exp
1.793223,10,40
2.521639,13,31
2.994555,14,40
3.483663,20,20
2.871568,14,11
1.948457,12,5
3.298184,16,11
1.904047,13,37
2.340445,16,37
2.602404,13,1
3.001950,12,33
2.807975,16,32
1.617240,9,1
1.951490,10,39
3.230456,19,3
2.128663,11,29
2.917780,14,16
2.561294,11,39
2.222103,12,4
2.480287,16,2
2.003649,17,10
3.476752,12,31
2.044486,8,34
1.895197,12,1
2.868053,11,38
2.107841,14,36
2.551805,15,10
2.317455,12,11
3.161888,18,22
2.909831,20,22
2.063593,8,1
2.943718,20,1
2.277516,8,40
2.681175,11,34
1.676238,9,3
2.064686,10,38
1.864403,9,33
2.553368,11,34
2.640817,17,37
2.632998,9,19
2.388466,8,34
1.695437,8,22
2.832596,9,28
2.268810,8,14
2.178222,11,29
2.718609,17,6
3.110801,11,37
2.303558,14,3
2.860960,10,24
3.611773,20,31
1.506021,15,14
2.669212,10,21
3.142127,20,34
2.180321,13,21
4.047206,19,19
1.857509,11,10
2.807337,18,19
3.836654,20,32
1.983800,10,35
3.089643,10,36
2.642058,10,13
2.843084,16,13
3.310024,19,16
1.793848,10,22
3.068237,16,20
2.330775,10,28
2.353871,11,22
2.367261,15,21
2.678752,12,12
3.087211,13,40
3.830322,19,31
2.498778,14,27
2.838286,16,23
2.505127,13,29
1.935408,15,0
2.452558,10,38
2.336537,10,38
3.056131,18,36
2.529677,10,36
2.137084,16,39
2.425670,19,16
2.373655,10,5
2.329986,11,16
3.253980,18,27
2.681481,13,22
1.938819,10,28
2.406492,15,23
2.302415,15,18
2.550269,12,24
2.414362,18,7
2.429437,13,2
2.511481,11,20
1.988815,9,32
3.269471,15,10
2.821429,9,25
3.113511,15,38
3.560411,19,35
2.296971,8,32
3.014825,20,10
2.467536,10,38
2.057208,15,8
3.655565,20,4
2.697159,14,24
2.368970,11,12
2.295712,10,36
2.498108,14,11
2.115810,9,26
1.105393,9,3
2.908196,20,22
2.863097,19,10
2.034133,9,16
2.697666,20,8
2.111746,17,2
2.924259,16,34
2.112460,12,3
2.259291,14,7
2.787971,17,1
3.014682,14,8
2.794504,11,33
2.708673,15,21
3.304260,15,31
1.987690,12,4
2.856593,13,28
3.385886,20,10
3.127661,17,2
2.294232,8,40
2.504004,10,33
2.701171,15,33
2.288852,16,29
2.390262,20,23
2.921543,20,19
2.685510,9,26
3.860572,20,29
2.381943,15,6
2.721112,20,33
2.513484,15,17
2.634169,10,23
2.638515,16,34
3.102864,16,24
2.564168,13,32
3.097619,14,25
2.833095,14,27
3.139969,14,39
2.426452,11,23
1.758765,10,4
2.315356,8,23
2.044460,14,11
2.839032,12,16
2.751991,9,29
2.652821,17,23
2.732587,14,29
2.559280,12,20
2.226534,17,25
2.550083,15,22
1.947693,9,4
2.257246,15,12
2.319552,16,29
1.407974,8,7
3.353651,19,28
1.779610,14,20
2.818211,18,6
1.852126,12,27
1.625167,11,9
3.714832,20,2
2.966722,19,7
1.968045,12,2
2.218808,12,18
2.825001,19,27
2.274449,13,2
3.111440,19,37
1.885492,11,21
2.889220,20,2
2.646616,16,8
3.202361,16,23
2.546073,14,8
2.586732,16,35
1.697123,9,1
2.146511,9,39
1.533454,10,9
2.141448,13,28
2.346151,12,1
2.159610,9,29
2.653705,13,22
2.268793,16,5
2.789476,20,13
3.530827,20,3
3.124171,11,28
1.834850,8,20
2.056333,12,17
1.879775,9,5
2.252887,19,4
2.221803,15,33
2.273310,10,35
3.162722,16,35
2.361282,17,8
2.269366,10,10
2.882621,12,38
2.507552,14,21
2.392710,17,16
2.500854,15,13
2.620679,8,33
2.774387,18,24
3.082065,18,18
3.503884,19,19
2.646624,15,34
2.441911,10,1
1.896211,8,17
2.412916,15,23
2.253562,10,37
2.557630,15,10
3.201919,18,27
2.757530,17,13
2.619755,18,8
2.454680,18,15
2.941843,20,4
2.732351,15,25
2.514771,8,22
2.343174,10,29
1.827534,9,6
2.052549,12,0
2.887796,18,7
2.719724,16,38
2.002122,12,2
2.895721,13,30
3.336222,17,19
2.444306,8,38
1.919191,11,11
2.368738,14,18
2.151526,9,33
3.165531,20,24
2.030427,10,21
2.842978,16,0
1.787780,8,21
2.649867,19,5
2.128505,15,18
2.505176,13,28
2.648132,19,8
2.756805,9,36
1.740539,10,9
1.805124,8,33
2.872980,18,1
2.524220,15,36
3.394439,16,7
3.046047,14,38
2.233748,15,6
2.553666,15,35
3.010983,14,34
3.459024,18,8
2.986382,19,25
2.750993,13,6
1.899413,8,39
2.259912,16,2
2.519433,15,23
3.151179,15,31
2.102013,13,6
2.503504,8,15
1.989011,9,28
1.448923,11,3
2.854275,14,19
3.597311,20,27
3.569950,17,38
2.390337,12,2
1.994186,11,2
3.717553,18,6
2.704123,14,35
3.503785,20,19
3.440061,17,15
2.443812,17,16
2.696346,18,8
2.989779,15,22
3.199273,13,21
3.230112,20,22
2.598511,15,31
2.215452,11,19
3.028705,16,5
2.329690,9,26
2.970137,18,40
1.980557,12,25
2.969828,16,11
2.279925,11,6
1.977327,15,24
2.755316,15,24
1.949517,15,3
1.730291,8,1
2.727506,18,14
2.327912,12,12
2.943708,19,33
2.985403,17,17
1.841431,8,1
2.483231,10,13
3.236502,19,13
2.789957,19,22
2.203886,9,15
2.703309,12,27
3.084132,18,23
2.947469,13,40
3.118802,11,37
2.081815,11,39
1.967728,10,4
2.755869,19,7
1.906720,8,18
2.264718,15,21
3.034416,17,2
1.807757,11,7
1.470477,14,4
3.081927,20,21
3.501483,17,30
2.860761,15,9
3.431181,19,24
1.649091,11,0
2.499693,11,35
1.528411,9,15
3.066514,14,24
2.320169,8,38
2.337689,16,6
2.733534,13,31
2.030988,12,37
2.865020,12,37
2.287930,14,35
2.451406,13,23
2.567002,13,38
2.754951,9,33
2.323823,14,14
3.221082,18,1
2.100507,11,11
2.816580,14,25
2.644828,18,9
2.646886,15,26
1.920809,11,14
2.418736,14,6
2.614311,20,7
3.340452,20,30
2.903176,11,28
2.489546,12,8
2.365306,19,15
1.961656,10,13
3.151031,10,4
3.124924,18,38
2.311891,13,22
2.868467,17,39
2.617126,19,3
2.718509,15,28
1.979529,12,3
2.994665,14,29
2.020239,9,14
2.718555,9,20
2.437523,8,32
1.668784,8,30
3.008796,16,11
2.493890,15,17
1.992371,18,3
2.217950,10,31
3.142075,14,40
1.298444,11,21
1.979911,13,19
2.737058,10,40
2.820807,16,5
2.244881,12,36
2.166197,8,23
3.242686,20,18
2.290471,13,15
2.546209,10,35
1.868549,15,2
2.871981,17,20
2.394148,12,24
2.299472,10,2
2.317964,13,17
3.322755,18,34
3.499101,17,36
2.582450,8,12
2.539248,10,12
3.590326,20,38
2.832696,15,35
2.465016,15,31
2.749383,18,33
2.173783,8,29
2.925831,19,27
2.648270,16,4
1.750074,10,22
2.979498,13,35
3.697919,19,32
3.040859,19,36
1.926911,9,7
3.387524,18,34
2.527406,16,26
2.489381,20,18
2.522398,15,16
2.191849,11,3
3.105253,13,40
1.888734,12,0
2.875028,18,16
2.269032,8,2
2.616933,16,0
1.762549,11,29
2.632868,19,6
3.030758,20,13
2.323696,10,34
1.997257,8,28
3.703275,17,3
1.921631,8,25
2.681089,12,35
1.921049,8,13
2.865005,11,37
2.519035,17,6
2.250070,16,1
3.031566,19,34
2.976516,18,39
2.202731,11,37
3.046544,17,35
2.444186,9,39
3.360424,19,30
2.333188,12,30
2.066627,8,15
1.907388,8,21
2.134235,9,40
2.894718,10,14
3.473639,19,14
2.310396,16,11
2.260797,14,25
1.749568,10,9
2.397621,15,27
2.580980,11,33
2.182509,12,19
2.927995,12,32
2.165199,11,22
1.304744,10,2
2.910203,17,10
2.414966,17,12
3.255402,18,36
3.695370,20,20
3.345396,19,23
3.501606,20,34
2.528561,15,23
3.113559,19,39
2.229208,8,32
2.720108,17,10
2.539361,11,10
1.181436,8,1
2.403686,11,13
3.916703,20,40
1.642518,12,3
1.825312,13,0
3.969690,15,37
1.983397,12,8
3.132735,19,39
2.645938,18,7
2.888162,19,14
